Harmonized Variable,Harmonized Variable Description,SNOMED CT ID,NINDS CDE ID,Studies Mapped,Missing Samples (%)_x,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)_y,dataset,var,Study,Variable name,Variable description,dbGaP Study Accession,Variable accession,Dataset accession,Dataset name,phv,values,studyId,dtId,varId,is_categorical,is_continuous,columnmeta_is_stigmatized,columnmeta_name,description,columnmeta_min,HPDS_PATH,derived_group_id,columnmeta_hpds_path,columnmeta_var_id,columnmeta_var_group_description,derived_var_description,derived_variable_level_data,data_hierarchy,derived_group_description,columnmeta_max,columnmeta_description,derived_study_id,hashed_var_id,columnmeta_data_type,derived_var_id,columnmeta_study_id,is_stigmatized,derived_var_name,derived_study_abv_name,derived_study_description,columnmeta_var_group_id,derived_group_name,columnmeta_HPDS_PATH,min,max
HXCVD,History of cardiovascular disease,49601007,C21869; C17477; C17479,ARICFraminghamMESAREGARDS,1.12,Framingham,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXHRTD,History of heart disease,56265001,C21869; C17477; C17479,ARICFraminghamMESAREGARDS,0.43,Framingham,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.afinc,Incident AF,2.1927486,afincps13,afinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.afinc,Incident AF,2.1927486,afincps13,afinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.afinc,Incident AF,2.1927486,afincps13,afinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.afinc,Incident AF,2.1927486,afincps13,afinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.ttaf,time to incident af,2.1927486,afincps13,ttaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.ttaf,time to incident af,2.1927486,afincps13,ttaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.ttaf,time to incident af,2.1927486,afincps13,ttaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIB,"Atrial fibrillation (0=No, 1=Yes)",49436004,C17466; C52619,ARICFraminghamMESAREGARDS,1.26,ARIC,afincps13.ttaf,time to incident af,2.1927486,afincps13,ttaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
